Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Sun Oct 08 16:57:12 EDT 2017,Game #1,"[Ace of Clubs (11), Seven of Diamonds (7)]",18,"[Queen of Diamonds (10), Queen of Hearts (10)]",20,Dealer Wins!,00:01
Sun Oct 08 16:57:15 EDT 2017,Game #2,"[Nine of Diamonds (9), Six of Hearts (6), Ace of Spades (11), Nine of Diamonds (9)]",25,"[Eight of Spades (8), Nine of Hearts (9)]",17,Player Bust!,00:02
Sun Oct 08 16:57:23 EDT 2017,Game #3,"[Seven of Hearts (7), Ace of Hearts (11), Two of Clubs (2)]",20,"[Jack of Hearts (10), Nine of Hearts (9)]",19,Player Wins!,01:02
Sun Oct 08 16:57:26 EDT 2017,Game #4,"[Nine of Spades (9), Ten of Clubs (10)]",19,"[Four of Spades (4), Nine of Clubs (9), Five of Spades (5)]",18,Player Wins!,02:02
Sun Oct 08 16:57:28 EDT 2017,Game #5,"[Six of Diamonds (6), Nine of Spades (9), Ten of Diamonds (10)]",25,"[Ten of Diamonds (10), Queen of Hearts (10)]",20,Player Bust!,02:03
Sun Oct 08 16:57:32 EDT 2017,Game #6,"[Queen of Clubs (10), Four of Clubs (4), Three of Hearts (3)]",17,"[Nine of Spades (9), Six of Diamonds (6), Five of Clubs (5)]",20,Dealer Wins!,02:04
Sun Oct 08 16:57:38 EDT 2017,Game #7,"[Seven of Clubs (7), Two of Spades (2), Nine of Hearts (9)]",18,"[Four of Clubs (4), Ace of Spades (11), Eight of Hearts (8), Five of Clubs (5)]",18,Tie!,03:04
Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 08:39:28 EDT 2017,Game #1,"[Four of Spades (4), Two of Spades (2), Jack of Clubs (10)]",16,"[Two of Spades (2), Jack of Spades (10), Ace of Hearts (11), Queen of Hearts (10)]",23,Dealer Bust!,01:00
Mon Oct 09 08:39:32 EDT 2017,Game #2,"[Nine of Diamonds (9), Queen of Diamonds (10), Seven of Diamonds (7)]",26,"[Three of Hearts (3), Two of Diamonds (2)]",5,Player Bust!,01:01
Mon Oct 09 08:39:36 EDT 2017,Game #3,"[Ten of Diamonds (10), Five of Spades (5)]",15,"[Queen of Hearts (10), Four of Hearts (4), Queen of Clubs (10)]",24,Dealer Bust!,02:01
Mon Oct 09 08:39:40 EDT 2017,Game #4,"[Nine of Diamonds (9), Eight of Hearts (8), Ten of Spades (10)]",27,"[Seven of Diamonds (7), Six of Hearts (6)]",13,Player Bust!,02:02
Mon Oct 09 08:39:43 EDT 2017,Game #5,"[Four of Diamonds (4), Seven of Spades (7)]",11,"[Seven of Clubs (7), Nine of Diamonds (9), Six of Diamonds (6)]",22,Dealer Bust!,03:02
Mon Oct 09 08:39:51 EDT 2017,Game #6,"[Nine of Hearts (9), Three of Hearts (3), Three of Spades (3), Three of Diamonds (3)]",18,"[Six of Clubs (6), Queen of Hearts (10), Jack of Hearts (10)]",26,Dealer Bust!,04:02
Mon Oct 09 08:39:56 EDT 2017,Game #7,"[Eight of Hearts (8), Ten of Clubs (10), Eight of Hearts (8)]",26,"[Five of Hearts (5), Six of Diamonds (6)]",11,Player Bust!,04:03
Mon Oct 09 08:39:59 EDT 2017,Game #8,"[Seven of Clubs (7), Queen of Spades (10)]",17,"[Ten of Spades (10), Eight of Clubs (8)]",18,Dealer Wins!,04:04
Mon Oct 09 08:40:05 EDT 2017,Game #9,"[Five of Diamonds (5), Four of Clubs (4), Jack of Diamonds (10)]",19,"[Seven of Diamonds (7), Queen of Diamonds (10)]",17,Player Wins!,05:04
Mon Oct 09 08:40:21 EDT 2017,Game #10,"[Nine of Diamonds (9), Eight of Clubs (8)]",17,"[Ten of Hearts (10), Ten of Spades (10)]",20,Dealer Wins!,05:05
Mon Oct 09 08:40:27 EDT 2017,Game #11,"[Four of Diamonds (4), Seven of Spades (7), Eight of Spades (8)]",19,"[Nine of Clubs (9), Six of Diamonds (6), Queen of Hearts (10)]",25,Dealer Bust!,06:05
